date,predicted_amount_cr,lower_bound_cr,upper_bound_cr
2018-01-01 00:00:00,17183.0,17183.343460282747,17183.3436521468
2018-04-01 00:00:00,30437.0,30437.42342095457,30437.423621151138
2018-07-01 00:00:00,47510.0,47510.14947086087,47510.14965782111
2018-10-01 00:00:00,67174.0,67173.63221483653,67173.63241530671
2019-01-01 00:00:00,99002.0,99002.13730146486,99002.13749497564
2019-04-01 00:00:00,135421.0,135421.4147804661,135421.4149752104
2019-07-01 00:00:00,167256.0,167255.89422029065,167255.8944106137
2019-10-01 00:00:00,225989.0,225989.40114583555,225989.40134529074
2020-01-01 00:00:00,269711.0,269711.2482596494,269711.2484490867
2020-04-01 00:00:00,264615.0,264614.5238300184,264614.5240163834
2020-07-01 00:00:00,390205.0,390205.29133648874,390205.2915225236
2020-10-01 00:00:00,539585.0,539585.1832935453,539585.1834761044
2021-01-01 00:00:00,628424.0,628424.357552571,628424.3577385703
2021-04-01 00:00:00,747647.0,747646.639391335,747646.6395790692
2021-07-01 00:00:00,921670.0,921669.5849209912,921669.5851237134
2021-10-01 00:00:00,1162130.0,1162129.5243828702,1162129.524571127
2022-01-01 00:00:00,1323963.0,1323963.0653332195,1323963.0655231709
2022-04-01 00:00:00,1550419.0,1550418.7559064743,1550418.756097838
2022-07-01 00:00:00,1660763.0,1660762.6958909035,1660762.6960823615
2022-10-01 00:00:00,1891489.0,1891489.0497078146,1891489.0499005402
2023-01-01 00:00:00,2051396.0,2051395.816263726,2051395.816450225
2023-04-01 00:00:00,2291850.0,2291849.610783672,2291849.610972569
2023-07-01 00:00:00,2401213.0,2401213.283004338,2401213.2832019194
2023-10-01 00:00:00,2704723.0,2704723.0700418833,2704723.070226126
2024-01-01 00:00:00,2945843.0,2945843.392707237,2945843.3928990737
2024-04-01 00:00:00,3182035.0,3182035.2528878557,3182035.253072843
2024-07-01 00:00:00,3234697.0,3234696.6986951614,3234696.69889333
2024-10-01 00:00:00,3599880.0,3599880.3860637913,3599880.3862500913
2025-01-01 00:00:00,3720439.0,3705319.799798662,3739635.6583722867
2025-04-01 00:00:00,4032966.0,3981261.9052060386,4093965.7284075273
2025-07-01 00:00:00,4068939.0,3965103.8887873073,4174254.7495498527
2025-10-01 00:00:00,4474159.0,4299013.404988421,4647967.683628733
